DataProvider, AccessionNumber, SpecimenType, TypeStatus, Exsiccata, Flags, Notes, SpecimenLinks, DuplicatesAt, OtherCatalogNumbers, AssignedReferenceNumbers, TaxonName_C1, Determiner_C1, DeterminersRefNo_C1, IdentificationType_C1, IdentificationDateISO_C1, IdentifiersNote_C1, PreferredName_C1, VernacularName_C1, PartAffected_C1, Substrate_C1, AssociationType_C1, Association_C1, PreviousIdentifications_C1, TaxonName_C2, Determiner_C2, DeterminersRefNo_C2, IdentificationType_C2, IdentificationDateISO_C2, IdentifiersNote_C2, PreferredName_C2, VernacularName_C2, PartAffected_C2, Substrate_C2, AssociationType_C2, Association_C2, PreviousIdentifications_C2, OtherComponents, Contributor, ContributorRefNo, Isolator, IsolationDate, ReceivedFrom, ReceivedDate, SpecimenEvents, Country_CE1, VerbatimCountry_CE1, LandDistrict_CE1, NZAreaCode_CE1, EcologicalDistrict_CE1, Locality_CE1, Collector_CE1, CollectionDate_CE1, CollectionDateISO_CE1, Habitat_CE1, MicroHabitat_CE1, Altitude_CE1, LocalHeight_CE1, GeoReference_CE1, DecimalLatitude_CE1, DecimalLongitude_CE1, Abundance_CE1, Method_CE1, Keywords_CE1, Context_CE1, Country_CE2, VerbatimCountry_CE2, LandDistrict_CE2, NZAreaCode_CE2, EcologicalDistrict_CE2, Locality_CE2, Collector_CE2, CollectionDate_CE2, CollectionDateISO_CE2, Habitat_CE2, MicroHabitat_CE2, Altitude_CE2, LocalHeight_CE2, GeoReference_CE2, DecimalLatitude_CE2, DecimalLongitude_CE2, Abundance_CE2, Method_CE2, Keywords_CE2, Context_CE2, OtherCollectionEvents, SpecimenId, DataAccessLevel, IsDeaccessioned
"International Collection Of Micro-organisms","ICMP 22017","Fungal Culture","","","MPI: Restricted Culture; Price Category: Category 1","Characterised as: Sequencing of ITS and LSU gene.; Other Details: This is a new record for New Zealand. The organism has been reported from Australia as a turf pathogen and as a root growth promoter from USA.","","","","","Phialocephala bamuru P.T.W. Wong & C. Dong 2015","B. Weir","","Determination","2016-03-20","","Phialocephala bamuru P.T.W. Wong & C. Dong","","","","","","",,,,,,,,,,,,,,"","M. Toome","T16-01152",,,,,"","New Zealand","","","","","Auckland","","","","","","","","","","","","","","Unknown",,,,,,,,,,,,,,,,,,,,,"","B2352313-6EA9-424B-97A5-2A6754E164FC","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 17805","Bacterial Culture","","","Price Category: Category 1","Characterised as: identified by 16S RNA sequence (Weir); Growth Conditions: R2A","","","","","Variovorax Willems et al. 1991","B. Weir","","Determination","","","Variovorax Willems et al. 1991","","","","isolated from","isolated from Vicia faba","TaxonName: Variovorax","Vicia faba","","","Determination","","","Vicia faba L.","","root nodule","","","","","","B. Weir","BN22","","2008-10-29",,,"","New Zealand","New Zealand","","Waikato","","Hamilton","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","07D5E53C-3F20-41B5-B43B-D3ECE8861E7F","Public","",
"International Collection Of Micro-organisms","ICMP 17801","Bacterial Culture","","","Price Category: Category 1","Characterised as: identified by 16S RNA sequence (Weir); Growth Conditions: R2A","","","","","Brevundimonas Segers et al. 1994","B. Weir","","Determination","","","Brevundimonas Segers et al.","","","","isolated from","isolated from Vicia faba","TaxonName: Brevundimonas","Vicia faba","","","Determination","","","Vicia faba L.","tic bean","root nodule","","","","","","B. Weir","BN17","","2008-10-29",,,"","New Zealand","New Zealand","","Waikato","","Hamilton","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","F155328F-0307-4757-B572-534D07B514C3","Public","",
"International Collection Of Micro-organisms","ICMP 1407","Bacterial Culture","","","MPI: Restricted Culture; Grade: a; Price Category: Category 2; MPI: Unwanted Organism","","","","","PDDCC: PDDCC 1407","Xanthomonas campestris pv. carotae (Kendrick 1934) Dye 1978","","","Determination","","","Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995","","","","isolated from","isolated from Daucus carota L. var. sativus Hoffm.","TaxonName: Xanthomonas carotae","Daucus carota L. var. sativus Hoffm.","","","Determination","","","Daucus carota var. sativus (L.) Schübl. & G.Martens","carrot","root","","","","","","D.W. Dye","ZC5","","1948-01-01",,,"Via, actioned by ICPB on 1948-01-01; Ex, actioned by P.G. Smith on 1948-01-01","United States","USA","","","","California","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","1176D3BA-F038-4401-B38A-D70A2077169B","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 3824","Fungal Culture","","","Price Category: Category 1","","","","","PDDCC: PDDCC 3824","Verticillium dahliae Kleb.","","","Determination","","","Verticillium dahliae Kleb. 1913","","","","isolated from","isolated from Nicotiana tabacum L.","TaxonName: Verticillium dahliae","Nicotiana tabacum L.","","","Determination","","","Nicotiana tabacum L.","tobacco","root","","","","","","J.B. Taylor","NZ112",,,,,"","New Zealand","New Zealand","","Nelson","","Motueka","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","6C3B06D3-7095-4573-B6A5-8BFA7D3739AE","Public","",
"International Collection Of Micro-organisms","ICMP 3831","Fungal Culture","","","Price Category: Category 1","","","","","PDDCC: PDDCC 3831","Verticillium alboatrum Reinke & Berthold","","","Determination","","","Verticillium alboatrum Reinke & Berthold 1879","","","","isolated from","isolated from Nicotiana tabacum L.","TaxonName: Verticillium albo-atrum","Nicotiana tabacum L.","","","Determination","","","Nicotiana tabacum L.","tobacco","root","","","","","","J.B. Taylor","NZ120",,,,,"","New Zealand","New Zealand","","Nelson","","Motueka","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","F4096766-9145-46CF-8F28-4BF0B2ED6DFF","Public","",
"International Collection Of Micro-organisms","ICMP 3832","Fungal Culture","","","Price Category: Category 1","","","","","PDDCC: PDDCC 3832","Verticillium dahliae Kleb.","","","Determination","","","Verticillium dahliae Kleb. 1913","","","","isolated from","isolated from Nicotiana tabacum L.","TaxonName: Verticillium dahliae","Nicotiana tabacum L.","","","Determination","","","Nicotiana tabacum L.","tobacco","root","","","","","","J.B. Taylor","NZ121",,,,,"Ex, actioned by T. Fry on ","New Zealand","New Zealand","","Nelson","","Motueka","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","038BE51C-FBD0-4074-A765-7A52C5EF26B7","Public","",
"International Collection Of Micro-organisms","ICMP 3829","Fungal Culture","","","Price Category: Category 1","","","","","PDDCC: PDDCC 3829","Verticillium dahliae Kleb.","","","Determination","","","Verticillium dahliae Kleb. 1913","","","","isolated from","isolated from Nicotiana tabacum L.","TaxonName: Verticillium dahliae","Nicotiana tabacum L.","","","Determination","","","Nicotiana tabacum L.","tobacco","root","","","","","","J.B. Taylor","NZ117",,,,,"Ex, actioned by E. Walker on ","New Zealand","New Zealand","","Nelson","","Motueka","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","5692191F-F881-4ADB-BDA0-D71AD449DDC5","Public","",
"International Collection Of Micro-organisms","ICMP 3833","Fungal Culture","","","Price Category: Category 1","","","","","PDDCC: PDDCC 3833","Verticillium dahliae Kleb.","","","Determination","","","Verticillium dahliae Kleb. 1913","","","","isolated from","isolated from Humulus lupulus L.","TaxonName: Verticillium dahliae","Humulus lupulus L.","","","Determination","","","Humulus lupulus L.","hop","root","","","","","","J.B. Taylor","NZ122",,,,,"Ex, actioned by T. Christie on ","New Zealand","New Zealand","","Nelson","","Motueka","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","E92ABE56-6982-4BF9-B6A3-03FA673240E2","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 3843","Fungal Culture","","","MPI: Restricted Culture; Price Category: Category 2","","","","","PDDCC: PDDCC 3843","Verticillium tricorpus I. Isaac","","","Determination","","","Verticillium tricorpus I. Isaac 1953","","","","isolated from","isolated from Cucumis melo L.","TaxonName: Verticillium tricorpus","Cucumis melo L.","","","Determination","","","Cucumis melo L.","rock melon","root","","","","","","J.B. Taylor","NZ137",,,,,"Via, actioned by S. Wilhelm on ","United States","USA","","","","California","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","764698C4-EBE7-447C-AB54-763338E41A7D","Public","",
"International Collection Of Micro-organisms","ICMP 3826","Fungal Culture","","","Price Category: Category 1","","","","","PDDCC: PDDCC 3826","Verticillium tricorpus I. Isaac","","","Determination","","","Verticillium tricorpus I. Isaac 1953","","","","isolated from","isolated from Nicotiana tabacum L.","TaxonName: Verticillium tricorpus","Nicotiana tabacum L.","","","Determination","","","Nicotiana tabacum L.","tobacco","root","","","","","","J.B. Taylor","NZ114",,,,,"Via, actioned by B. Jackson on ","New Zealand","New Zealand","","Nelson","","Motueka","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","0B1A0637-83FB-473B-9A4E-1A7D999659A3","Public","",
"International Collection Of Micro-organisms","ICMP 3828","Fungal Culture","","","Price Category: Category 1","","","","","PDDCC: PDDCC 3828","Verticillium dahliae Kleb.","","","Determination","","","Verticillium dahliae Kleb. 1913","","","","isolated from","isolated from Nicotiana tabacum L.","TaxonName: Verticillium dahliae","Nicotiana tabacum L.","","","Determination","","","Nicotiana tabacum L.","tobacco","root","","","","","","J.B. Taylor","NZ116",,,,,"Ex, actioned by M. Heath on ","New Zealand","New Zealand","","Nelson","","Motueka","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","3AA0E619-BAF8-4D97-B783-F121B9EE24BD","Public","",
"International Collection Of Micro-organisms","ICMP 5142","Fungal Culture","","","Price Category: Category 1","","","NRRL","38476","PDDCC: PDDCC 5142","Fusarium oxysporum Schltdl.","","","Determination","","Haplotypes ST 99 sensu O'Donnell et al. Fungal Genetics and Biology 46: 936-948, 2009","Fusarium oxysporum Schltdl.","","","","isolated from","isolated from Solanum tuberosum L.","TaxonName: Fusarium oxysporum","Solanum tuberosum L.","","","Determination","","","Solanum tuberosum L.","potato","root","","","","","","J.M. Dingley","6110A","","1961-10-01",,,"","New Zealand","New Zealand","","Northland","","Whangarei","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","94A593A8-FAFB-4803-806F-33429F57AECC","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 10666","Fungal Culture","","","Price Category: Category 1","","","","","","Macrophomina phaseolina (Tassi) Goid.","","","Determination","","","Macrophomina phaseolina (Tassi) Goid. 1947","","","","isolated from","isolated from Actinidia deliciosa (Chev.) Liang & Ferguson","TaxonName: Macrophomina phaseolina","Actinidia deliciosa (Chev.) Liang & Ferguson","","","Determination","","","Actinidia deliciosa (A.Chev.) C.F.Liang & A.R.Ferguson","kiwifruit","roots","","","","","","G. Laundon","LEV 14257","","1978-12-01",,,"","New Zealand","New Zealand","","Nelson","","Motueka","G. Laundon","1978","1978-00-00","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","974171A4-521D-4BF5-916B-934E739B5A53","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 10544","Fungal Culture","","","Price Category: Category 1","","","","","","Gibberella intricans Wollenw.","","","Determination","","","Fusarium equiseti (Corda) Sacc. 1886","","","","isolated from","isolated from Asparagus sp.","TaxonName: Gibberella intricans","Asparagus sp.","","","Determination","","","Asparagus","","crown and roots","","","","","","G. Laundon","LEV 11162","","1976-11-01",,,"","New Zealand","New Zealand","","Nelson","","Motueka","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","EFDA7D9B-D9E6-4D5B-81F4-5A80050A6703","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 16674","Fungal Culture","","","Price Category: Category 1","","","","","","Bimuria novae-zelandiae D. Hawksw., Chea & Sheridan","N. Waipara","","Determination","","","Bimuria novae-zelandiae D. Hawksw., Chea & Sheridan","","","","isolated from","isolated from Trifolium pratense","TaxonName: Bimuria novaezelandiae","Trifolium pratense","","","Determination","","","Trifolium pratense L.","","roots","","","","","","N. Waipara","CIR6.1P159","","1995-11-01",,,"","New Zealand","New Zealand","","Waikato","","Ruakura","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","214F3234-20F4-4983-B87D-B4E13E556F17","Public","",
"International Collection Of Micro-organisms","ICMP 16670","Fungal Culture","","","Price Category: Category 1","","","","","","Paecilomyces lilacinus (Thom) Samson","N. Waipara","","Determination","","","Purpureocillium lilacinum (Thom) Luangsa-ard, Houbraken, Hywel-Jones & Samson","","","","isolated from","isolated from Lolium perenne","TaxonName: Paecilomyces lilacinus","Lolium perenne","","","Determination","","","Lolium perenne L.","","roots","","","","","","N. Waipara","R2WS1P353","","1995-11-01",,,"","New Zealand","New Zealand","","Waikato","","Ruakura","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","DA9DD6B3-4712-4474-A17E-D3BE815B079A","Public","",
"International Collection Of Micro-organisms","ICMP 16676","Fungal Culture","","","Price Category: Category 1","","","","","","Bimuria novae-zelandiae D. Hawksw., Chea & Sheridan","N. Waipara","","Determination","","","Bimuria novae-zelandiae D. Hawksw., Chea & Sheridan","","","","isolated from","isolated from Trifolium repens","TaxonName: Bimuria novaezelandiae","Trifolium repens","","","Determination","","","Trifolium repens L.","","roots","","","","","","N. Waipara","C1126-2P1S57","","1995-11-01",,,"","New Zealand","New Zealand","","Waikato","","Ruakura","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","F6416721-616B-473F-AAC5-9944A2802EE4","Public","",
"International Collection Of Micro-organisms","ICMP 3749","Fungal Culture","","","Price Category: Category 1","","","","","PDDCC: PDDCC 3749","Fusarium oxysporum Schltdl.","","","Determination","","","Fusarium oxysporum Schltdl.","","","","isolated from","isolated from Lycopersicon esculentum Mill.","TaxonName: Fusarium oxysporum","Lycopersicon esculentum Mill.","","","Determination","","","Solanum lycopersicum L.","tomato","root","","","","","","J.B. Taylor","F26",,,,,"","New Zealand","New Zealand","","Auckland","","Mangere","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","8088DE9F-A3FA-47C2-B2BE-394184B93C2E","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 3745","Fungal Culture","","","MPI: Restricted Culture; Price Category: Category 2","","","","","PDDCC: PDDCC 3745","Fusarium oxysporum f.sp. lycopersici (Sacc.) W.C. Snyder & H.N. Hansen","","","Determination","","","Fusarium oxysporum f.sp. lycopersici (Sacc.) W.C. Snyder & H.N. Hansen 1940","","","","isolated from","isolated from Lycopersicon esculentum Mill.","TaxonName: Fusarium oxysporum Schlechtendal f. sp. lycopersici","Lycopersicon esculentum Mill.","","","Determination","","","Solanum lycopersicum L.","tomato","root","","","","","","J.B. Taylor","F22",,,,,"Ex, actioned by W.C. Snyder on ","United States","USA","","","","California","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","3BE6E0DF-5ACC-4163-AA81-0DAE9B8A8012","Public","",
"International Collection Of Micro-organisms","ICMP 3746","Fungal Culture","ex Type","","MPI: Restricted Culture; Grade: a; Price Category: Category 2","","","","","PDDCC: PDDCC 3746","Fusarium oxysporum f.sp. pisi (C.J.J. Hall) W.C. Snyder & H.N. Hansen","","","Determination","","","Fusarium oxysporum f.sp. pisi (C.J.J. Hall) W.C. Snyder & H.N. Hansen 1940","","","","isolated from","isolated from Pisum sativum L.","TaxonName: Fusarium oxysporum Schlechtendal f. sp. pisi","Pisum sativum L.","","","Determination","","","Pisum sativum L.","garden pea","root","","","","","","J.B. Taylor","F23",,,,,"Ex, actioned by W.C. Snyder on ","United States","USA","","","","California","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","643033F1-3DA2-4139-ADD2-9266426E2774","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 21198","Fungal Culture","","","MPI: Restricted Culture; Price Category: Category 2","","","BRIP ","27717","","Thanatephorus cucumeris (A.B. Frank) Donk 1956","J. MacKie","","Determination","1992-04-00","","Thanatephorus cucumeris (A.B. Frank) Donk 1956","","","","isolated from","isolated from Medicago sativa L.","","Medicago sativa L.","","","Determination","","","Medicago sativa L.","Lucerne","Root canker","","","","","","Yu Pei Tan ","",,,,,"","Australia","Australia","","","","Bileola, Queensland","J. MacKie","24 Apr 1997","1997-04-24","","","","","-24.416667 150.5 ","-24.4147","150.5","","","","Unknown",,,,,,,,,,,,,,,,,,,,,"","7B73EE3A-E141-475E-9DED-DE3210D2414D","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 9479","Fungal Culture","","","Price Category: Category 1; MPI: Restricted Culture; MPI: Unwanted Organism","","","","","PDDCC: PDDCC 9479","Gliomastix murorum var. felina (Marchal) S. Hughes","","","Determination","","","Gliomastix murorum (Corda) S. Hughes 1958","","","","isolated from","isolated from Cordyline australis (Forst.f.) Endl.","TaxonName: Gliomastix murorum (Corda) Hughes var. felina","Cordyline australis (Forst.f.) Endl.","","","Determination","","","Cordyline australis (G.Forst.) Endl.","cabbage tree, ti kauka","roots of dead tree","","","","","","J. Rees-George","921","","1988-02-01",,,"Ex, actioned by P.K. Buchanan on 1988-02-01","New Zealand","New Zealand","","Auckland","","Mangere","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","8296F5E0-8EA5-4F52-98FE-1C3718678582","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 14152","Chromist Culture","","","Price Category: Category 1","Growth Conditions: V8B for 3 days","","","FRI 8086; NZFS 2671","","Phytophthora plurivora T. Jung & T.I. Burgess","Heather Flint","","Determination","2012-07-10","","Phytophthora plurivora T. Jung & T.I. Burgess 2009","","","","isolated from","isolated from Juglans regia L.","TaxonName: Phytophthora gonapodyides (H.E. Petersen) Buisman; TaxonName: Phytophthora gonapodyides","Juglans regia L.","","","Determination","","","Juglans regia L.","walnut","roots","","","","","","C.F. Hill","NPRRL625a","","2001-02-01",,,"","New Zealand","New Zealand","","Nelson","","Motueka","C.F. Hill","2001","2001-00-00","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","D70603B9-8BEB-4DA6-A419-B0E29234F6C0","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 9668","Chromist Culture","","","MPI: Restricted Culture; Price Category: Category 2","","","","","","Phytophthora de Bary","","","Determination","","","Phytophthora de Bary 1876 [1875]","","","","isolated from","isolated from Asparagus officinalis L.","TaxonName: Phytophthora sp.","Asparagus officinalis L.","","","Determination","","","Asparagus officinalis L.","asparagus","roots","","","","","","P.G. Falloon","PmACA105","","1984-01-01",,,"","United States","USA","","","","California","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","F351017E-4996-4B48-8404-C29E27A79BBE","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 9670","Chromist Culture","","","MPI: Restricted Culture; Price Category: Category 2","","","","","","Phytophthora de Bary","","","Determination","","","Phytophthora de Bary 1876 [1875]","","","","isolated from","isolated from Asparagus officinalis L.","TaxonName: Phytophthora sp.","Asparagus officinalis L.","","","Determination","","","Asparagus officinalis L.","asparagus","roots & crown","","","","","","P.G. Falloon","PmACA100","","1982-04-01",,,"","United States","USA","","","","California","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","4F548E22-E0AB-463F-B07F-62A12CBD0980","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 9669","Chromist Culture","","","Grade: b; Price Category: Category 1","","","","","","Phytophthora de Bary","","","Determination","","","Phytophthora de Bary 1876 [1875]","","","","isolated from","isolated from Asparagus officinalis L.","TaxonName: Phytophthora sp.","Asparagus officinalis L.","","","Determination","","","Asparagus officinalis L.","asparagus","roots & crown","","","","","","P.G. Falloon","PmACA082","","1982-04-01",,,"","United States","USA","","","","California","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","C58E3B92-91C1-41EF-9DF7-E8523A428BD5","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 19754","Chromist Culture","","","Price Category: Category 1","Characterised as: Identified by morphology and molecular sequencing","","","","","Phytophthora cryptogea Pethybr. & Laff. 1919","R. Thangavel","T13-01064D","Determination","2013-04-10","","Phytophthora cryptogea Pethybr. & Laff. 1919","","","","isolated from","isolated from Corokia","","Corokia","","","Determination","","","Corokia","","Roots","","","","","","R. Thangavel","T13-01064D","R. Thangavel","2013-04-04",,,"","New Zealand","New Zealand","","Waikato","","Hamilton","L. Blair","12 Mar 2013","2013-03-12","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","74CE6762-E888-436A-8FAC-959FB8CAC582","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 17300","Fungal Culture","","","Price Category: Category 1","","","","","","Calonectria spathiphylli El-Gholl, J.Y. Uchida, Alfenas, T.S. Schub., Alfieri & A.R. Chase","W. Ho","","Determination","","","Calonectria spathiphylli El-Gholl, J.Y. Uchida, Alfenas, T.S. Schub., Alfieri & A.R. Chase","","","","isolated from","isolated from Heliconia stricta","TaxonName: Calonectria spathiphylli","Heliconia stricta","","","Determination","","","Heliconia stricta Huber","","severe rotting of roots, rhizome and leaves","","","","","","W. Ho","IDC 09-2007-1764","","2007-11-01",,,"Ex, actioned by M. Dance on 2007-11-01","New Zealand","New Zealand","","Northland","","Whangarei","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","3C9DA289-64A6-4FE5-BA48-FE9AC52DA9F2","Public","",
"International Collection Of Micro-organisms","ICMP 9767","Chromist Culture","","","MPI: Restricted Culture; Price Category: Category 2","Other Details: A1 mating type
; Pathogenic to: asparagus (Falloon)","","","","","Phytophthora cryptogea Pethybr. & Laff.","","","Determination","","","Phytophthora cryptogea Pethybr. & Laff. 1919","","","","isolated from","isolated from Asparagus officinalis L.","TaxonName: Phytophthora cryptogea","Asparagus officinalis L.","","","Determination","","","Asparagus officinalis L.","asparagus","root/crown","","","","","","P.G. Falloon","PmACA004","","1982-01-01",,,"","United States","USA","","","","California","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","5269466A-47D3-4859-9EAD-0C02943F56DD","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 9674","Chromist Culture","","","MPI: Restricted Culture; Price Category: Category 2","Other Details: A1 mating type
; Pathogenic to: asparagus (Falloon)","","","","","Phytophthora cryptogea Pethybr. & Laff.","","","Determination","","","Phytophthora cryptogea Pethybr. & Laff. 1919","","","","isolated from","isolated from Asparagus officinalis L.","TaxonName: Phytophthora cryptogea","Asparagus officinalis L.","","","Determination","","","Asparagus officinalis L.","asparagus","roots","","","","","","P.G. Falloon","PmACA060","","1982-04-01",,,"","United States","USA","","","","California","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","7FEC5705-EF8C-4771-B1EE-9F4FC8DB7056","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 9672","Chromist Culture","","","MPI: Restricted Culture; Price Category: Category 2","","","","","","Phytophthora de Bary","","","Determination","","","Phytophthora de Bary 1876 [1875]","","","","isolated from","isolated from Asparagus officinalis L.","TaxonName: Phytophthora sp.","Asparagus officinalis L.","","","Determination","","","Asparagus officinalis L.","asparagus","spears, crowns & roots","","","","","","P.G. Falloon","PmACA103","","1983-04-01",,,"","United States","USA","","","","California","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","993B2275-D8E6-4032-B083-225C3E4D6B57","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 9673","Chromist Culture","","","MPI: Restricted Culture; Price Category: Category 2","Other Details: A1 mating type
; Pathogenic to: asparagus (Falloon)","","","","","Phytophthora cryptogea Pethybr. & Laff.","","","Determination","","","Phytophthora cryptogea Pethybr. & Laff. 1919","","","","isolated from","isolated from Asparagus officinalis L.","TaxonName: Phytophthora cryptogea","Asparagus officinalis L.","","","Determination","","","Asparagus officinalis L.","asparagus","roots","","","","","","P.G. Falloon","PmACA108","","1984-03-01",,,"","United States","USA","","","","California","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","570F6153-F8B5-4999-B481-D082A55194BD","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 10286","Fungal Culture","","","Price Category: Category 1","","","","","","Gibberella avenacea R.J. Cook","","","Determination","","","Fusarium avenaceum (Fr.) Sacc. 1886","","","","isolated from","isolated from Lens culinaris Medic.","TaxonName: Gibberella avenacea","Lens culinaris Medic.","","","Determination","","","Lens culinaris Medik.","lentil","root rot","","","","","","P.G. Broadhurst","F230","","1987-01-01",,,"","New Zealand","New Zealand","","Marlborough","","Blenheim","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","2CBA6573-956A-47D2-A075-3AD86C7880A5","Public","",
"International Collection Of Micro-organisms","ICMP 10169","Chromist Culture","","","Price Category: Category 1","","","","","","Pythium gracile Schenk","","","Determination","","","Pythium gracile Schenk 1859","","","","isolated from","isolated from Ixia sp.","TaxonName: Pythium gracile","Ixia sp.","","","Determination","","","Ixia","","roots","","","","","","G.F. Laundon","12409C","","1977-10-01",,,"","New Zealand","New Zealand","","Northland","","Kerikeri","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","853CB794-A792-444D-A04D-2BB48EBA4117","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 8988","Fungal Culture","","","Price Category: Category 1","Pathogenic to: lucerne","","","","PDDCC: PDDCC 8988","Verticillium alboatrum Reinke & Berthold","","","Determination","","","Verticillium alboatrum Reinke & Berthold 1879","","","","isolated from","isolated from Medicago sativa L.","TaxonName: Verticillium albo-atrum","Medicago sativa L.","","","Determination","","","Medicago sativa L.","lucerne, alfalfa","vascular system of root","","","","","","B.T. Hawthorne","175","","1981-02-01",,,"Via, actioned by J. Rees-George on 1981-02-01","New Zealand","New Zealand","","Taupo","","Taupo","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","DCE6E1DD-CD45-4727-A7C2-DE35D512BDE0","Public","",
"International Collection Of Micro-organisms","ICMP 3799","Fungal Culture","","","Price Category: Category 1","","","","","PDDCC: PDDCC 3799","Verticillium dahliae Kleb.","","","Determination","","","Verticillium dahliae Kleb. 1913","","","","isolated from","isolated from Paeonia sp.","TaxonName: Verticillium dahliae","Paeonia sp.","","","Determination","","","Paeonia","peony","root","","","","","","J.B. Taylor","NZ67",,,,,"","New Zealand","New Zealand","","Marlborough","","Blenheim","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","C4ED4288-BEF5-4FAE-92F6-D8506255BC47","Public","",
"International Collection Of Micro-organisms","ICMP 17455","Chromist Culture","","","Price Category: Category 1","","","","","","Phytophthora cinnamomi Rands","R.E. Beever","","Determination","","","Phytophthora cinnamomi Rands 1922","","","","isolated from","isolated from Nothofagus solandri","TaxonName: Phytophthora cinnamomi","Nothofagus solandri","","","Determination","","","Fuscospora solandri","black beech","lateral root of dead plant","","","","","","R.E. Beever","322-68","","2008-03-17",,,"","New Zealand","New Zealand","","Taupo","","Taupo","R.E. Beever","17 Mar 2008","2008-3-17","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","FD71427C-1864-4672-BA49-ACB07DAF11D9","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 17210","Fungal Culture","","","Price Category: Category 1","","","","NRRL 45926","","Fusarium oxysporum Schltdl.","","","Determination","","","Fusarium oxysporum Schltdl.","","","","isolated from","isolated from Lens ","TaxonName: Fusarium oxysporum","Lens ","","","Determination","","","Lens","lentil","root","","","","","","P.R. Johnston","","","1989-05-01",,,"Via, actioned by M. Cromey on 1989-05-01; Ex, actioned by P. Broadhurst on 1989-05-01","New Zealand","New Zealand","","Marlborough","","Blenheim","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","51D1D5CC-CB4D-4597-AE2C-460B29688F5F","Public","",
